id,catalogue_code,species_id,rec_number,site_name,audiohqid,audiolqid,sonogramvideoid,caption,created_at
650e8400-e29b-41d4-a716-446655440017,110930.AB.001103.01,550e8400-e29b-41d4-a716-446655440001,17,"Kennemerduinen, Bloemendaal, Netherlands",0017,0017,0017,"Compound hooting of two males with soliciting calls of a female, the male's energy peaking at around 860 Hz. From 0:39, aggressive duet of male and female in response to a more distant male. Background: acorns falling, and Fallow Deer Dama dama.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440018,090319.MR.193136.11,550e8400-e29b-41d4-a716-446655440017,18,"Vale da Ribeira das Mercês, São Bras de Alportel, Portugal",0018,0018,0018,"Hooting of four males, converging around 1.35 kHz. Background: crickets and Mediterranean Tree Frog Hyla meridionalis.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440019,05.003.KM.10425.01,550e8400-e29b-41d4-a716-446655440018,19,"Tacumshin, Wexford, Ireland",0019,0019,0019,"Flight calls of a single individual in flight, with the energy peaking at around 2.3 kHz. Background: Common Snipe Gallinago gallinago and European Robin Erithacus rubecula.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440020,01.014.AB.03230.31,550e8400-e29b-41d4-a716-446655440019,20,"Skuleskogen, Ångermanland, Sweden",0020,0020,0020,"At 4.8 kHz, the sustained whistles of this nervous adult, heard from 8 sec into the recording, are just over twice as high as the calls of Eurasian Whimbrel Numenius phaeopus heard in the preceding recording.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440021,02.011.AB.05825.01,550e8400-e29b-41d4-a716-446655440003,21,"Hauts Plateaux du Vercors, Drôme, France",0021,0021,0021,"The main frequency around which this adult male spins its cyclical song is 7 kHz. Background: European Robin Erithacus rubecula and Eurasian Coal Tit Periparus ater.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440022,160508.MR.115345.22,550e8400-e29b-41d4-a716-446655440020,22,"Pollença, Mallorca, Spain",0022,0022,0022,"Courtship song with 'electric' notes reaching 13 kHz. Background: Sardinian Warbler Sylvia melanocephala, Common Nightingale Luscinia megarhynchos and European Goldfinch Carduelis carduelis.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440023,03.003.MR.12240.01,550e8400-e29b-41d4-a716-446655440021,23,"Dijkwielen, Wieringermeer, Noord-Holland, Netherlands",0023,0023,0023,"Reeling song. Main frequency 6 kHz, pulse rate 24/sec. Background: Mallard Anas platyrhynchos and Common Tern Sterna hirundo.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440024,03.017.MR.12852.00,550e8400-e29b-41d4-a716-446655440022,24,"Karazhar field station, Aqmola Oblast, Kazakhstan",0024,0024,0024,"Reeling song. Main frequency 4 kHz, pulse rate 48/sec. Background: Paddyfield Warbler Acrocephalus agricola.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440025,00.001.KM.03813a.01,550e8400-e29b-41d4-a716-446655440023,25,"Tacumshin Lake, Wexford, Ireland",0025,0025,0025,"Upward-inflected calls of several birds. Background: a flock of quietly chattering Dunlin Calidris alpina.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440026,03.008.MR.02314.01,550e8400-e29b-41d4-a716-446655440024,26,"Parc Natural S'Albufera, Mallorca, Spain",0026,0026,0026,"Downward-inflected calls of a breeding adult when flushed. These calls are also higher-pitched and a third shorter than the equivalent calls of Common Ringed Plover C hiaticula. Background: Mallard Anas platyrhynchos and Zitting Cisticola Cisticola juncidis.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440027,02.029.AB.11311.01,550e8400-e29b-41d4-a716-446655440025,27,"Seosan Lakes, Chungcheongnam-do, South Korea",0027,0027,0027,"Calls of a passing migrant, flying away in a straight line. The calls later in the recording sound slightly less piercing. This is not only due to the sound being quieter from a distance: the harmonics also become weaker. Background: Tundra Bean Geese Anser serrirostris.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440028,04.002.MC.11730.00,550e8400-e29b-41d4-a716-446655440026,28,"Poole Harbour, Dorset, England",0028,0028,0028,"Wing sounds and some calls, gradually descending in pitch due to the Doppler effect, as a pair flies past.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440029,130228.MR.232502.01,550e8400-e29b-41d4-a716-446655440027,29,"Pancas, Benavente, Portugal",0029,0029,0029,"Hooting of a male in open Holm Oak Quercus ilex woodland, with large pools here and there following heavy rain. Background: Mallard Anas platyrhynchos and Tawny Owl Strix aluco.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440030,070626.MR.015310.11,550e8400-e29b-41d4-a716-446655440028,30,"Amsterdam, Noord-Holland, Netherlands",0030,0030,0030,"Sounds of four mice feeding on wholemeal bread then scampering up and down the back of a fridge (little mice with clogs on?).",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440031,121007.MR.200053.11,550e8400-e29b-41d4-a716-446655440029,31,"Białowieża forest, Podlasie, Poland",0031,0031,0031,"Mice presumably of this species vocalising while feeding in hazelnut and hornbeam scrub. Background: a hazelnut falling to the ground.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440032,00.013.MC.02430.01,550e8400-e29b-41d4-a716-446655440030,32,"Wareham, Dorset, England",0032,0032,0032,"Song of a male, singing from an exposed perch. Its mate is nearby, collecting nest material. Background: Black-headed Gull Chroicocephalus ridibundus, Eurasian Skylark Alauda arvensis and Meadow Pipit Anthus pratensis.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440033,01.014.AB.14647.10,550e8400-e29b-41d4-a716-446655440031,33,"Vendelsjön, Uppland, Sweden",0033,0033,0033,"Song of a male. Background: flight calls of Eurasian Bittern Botaurus stellaris.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440034,110708.AB.042708.01,550e8400-e29b-41d4-a716-446655440032,34,"Tomsk, Siberia, Russia",0034,0034,0034,"Song of a male. Background: Siberian Chiffchaff Phylloscopus tristis and Siberian Rubythroat Calliope calliope.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440035,05.015.MR.01142.01,550e8400-e29b-41d4-a716-446655440033,35,"Bieszczady national park, Podkarpackie, Poland",0035,0035,0035,"Several short songs.",2024-01-01T00:00:00Z
